e2_idxs	e1_label	probability	e2_label	sent_id	words	e1_idxs	doc_id	ext_id	is_correct	Wrong gene	multiple gene issue	wrong phenotype	split phenotype	no_phenotype_in_sentence	note	multisence_needed
[8, 9]	GeneName	0.4993194424832523	PhenoName	136	["Indeed", ",", "_", "fry1", "_", "late", "flowering", ",", "short", "petioles", "and", "hypocotyl", "hypersensitivity", "to", "red", "light", "phenotypes", "are", "largely", "mimicked", "by", "the", "_", "xrn2", "xrn3", "_", "double", "mutant", "."]	[5, 6]	10.1371.journal.pone.0016724	128	false	true	\N	\N	\N	\N	\N	\N
[33, 34]	GeneName	0.7294195094559193	PhenoName	151	["Triple", "mutant", "_", "hua27", "hulk1", "hulk3", "_", "plants", "were", "reduced", "in", "size", "with", "small", "leaves", "and", "only", "a", "few", "branches", "(", "Figureb", ")", ";", "additionally", ",", "these", "plants", "were", "entirely", "sterile", "due", "to", "pollen", "inviability", "(", "green/blue", "coloration", "as", "observed", "with", "the", "Alexander", "stain", ",", "see", "Figuree", ")", ",", "and", "triple", "mutant", "plants", "had", "to", "be", "derived", "from", "heterozygotes", "at", "the", "_", "HUA2", "_", "locus", "(", "i.e.", "_", "hua27", "_", "/", "_", "+", "hulk1", "hulk3", "_", "plants", ")", "."]	[4]	10.1111.tpj.12629	241	false	\N	true	\N	\N	\N	\N	\N
[13]	GeneName	0.2678731957879281	PhenoName	208	["The", "_", "myb97", "myb101", "myb120", "_", "triple", "mutants", "exhibited", "the", "typical", "pollen", "tube", "overgrowth", "phenotype", ",", "almost", "identical", "to", "those", "of", "_", "fer", "_", ",", "_", "lre", "_", "and", "_", "nta", "_", "mutants", "."]	[26]	10.1371.journal.pgen.1003933	624	false	\N	\N	true	\N	\N	\N	\N
[20]	GeneName	0.5004309150009618	PhenoName	208	["While", "we", "showed", "increased", "quercetin", "levels", "in", "_", "prn1", "_", "mutant", "shoots", ",", "in", "the", "overexpressor", "transformed", "seed", "lines", "(", "WT", "transformed", "with", "_", "35S", "_", ":", ":", "PRN1-GFP", ")", ",", "it", "would", "be", "expected", "that", "quercetins", "and", "perhaps", "flavonoids", "in", "general", "would", "be", "reduced", "from", "more", "PRN1", "being", "present", "and", "potentially", "active", "as", "a", "quercetinase", "."]	[8]	10.1371.journal.pone.0093371	1102	false	\N	\N	true	\N	\N	\N	\N
[1]	GeneName	0.26850365885107713	PhenoName	187	["Disturbing", "mitochondrial", "complex", "I", "impairs", "energy", "generation", "and", "leads", "to", "the", "extreme", "retardation", "of", "diverse", "aspects", "of", "growth", "and", "development", "in", "_", "mterf15", "_", "plants", "."]	[22]	10.1371.journal.pone.0112360	799	false	\N	\N	true	\N	\N	\N	\N
[14, 15]	GeneName	0.1190920080526685	PhenoName	84	["The", "_", "eve1-D", "/", "+", "_", "plants", "exhibited", "a", "loss", "of", "apical", "dominance", ",", "late", "flowering", ",", "and", "a", "dwarf", "phenotype", "(", ",", "at", "_", "JXB", "_", "online", ")", "."]	[14, 15]	10.1093.jxb.err168	1784	false	\N	\N	\N	\N	\N	\N	\N
[25]	GeneName	0.2684544939959126	PhenoName	353	["However", ",", "the", "finding", "that", "greatly", "reduced", "Rubisco", "within", "the", "_", "raf_1", "mutant", "leaves", "had", "no", "observable", "effect", "on", "any", "other", "plastid-encoded", "proteins", "represents", "a", "clear", "difference", "from", "the", "effects", "observed", "in", "lower", "regions", "of", "the", "_", "rlsb", "_", "-1", "/", "_", "rlsb", "_", "-2", "leaves", "."]	[37]	10.1186.1471-2229-13-138	949	false	\N	\N	true	\N	\N	\N	\N
[8]	GeneName	0.5016569307504244	PhenoName	202	["All", "reported", "_", "irx8", "_", "mutant", "alleles", "are", "dwarf", "and", "show", "a", "collapsed", "xylem", "phenotype", "(", "Pea", "et", "al.", ",", ";", "Persson", "et", "al.", ",", "."]	[3]	10.3389.fpls.2014.00357	999	true	\N	\N	\N	\N	\N	\N	\N
[37]	GeneName	0.49985897580726946	PhenoName	364	["Affected", "genes", "in", "the", "_", "rlsb", "_", "-1", "/", "_", "rlsb", "_", "-2", "mutants", "include", "redox", "and", "sink-responsive", "light-reaction", "genes", "in", "BS", "and", "M", "cells", ",", "the", "nuclear-encoded", "plastid-targeted", "decarboxylating", "NADP-ME", "in", "BS", "cells", ",", "and", "the", "mitochondrial", "NAD-ME", "."]	[10]	10.1186.1471-2229-13-138	952	false	\N	\N	\N	\N	\N	\N	\N
[222]	GeneName	0.26432566031651117	PhenoName	211	["The", "calculated", "percentage", "of", "DNA", "damage", "remaining", "for", "each", "given", "repair", "time", "tx", "is", "defined", "as", ":", "\\", "documentclass", "-LSB-", "12pt", "-RSB-", "-LCB-", "minimal", "-RCB-", "\\", "usepackage", "-LCB-", "amsmath", "-RCB-", "\\", "usepackage", "-LCB-", "wasysym", "-RCB-", "\\", "usepackage", "-LCB-", "amsfonts", "-RCB-", "\\", "usepackage", "-LCB-", "amssymb", "-RCB-", "\\", "usepackage", "-LCB-", "amsbsy", "-RCB-", "\\", "usepackage", "-LCB-", "mathrsfs", "-RCB-", "\\", "usepackage", "-LCB-", "upgreek", "-RCB-", "\\", "setlength", "-LCB-", "\\", "oddsidemargin", "-RCB-", "-LCB-", "-69", "pt", "-RCB-", "\\", "begin", "-LCB-", "document", "-RCB-", "$", "$", "\\", "mathrm", "-LCB-", "K", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "t", "-RCB-", "\\", "right", ")", "=\\", "%", "\\", "\\", "mathrm", "-LCB-", "damage", "-RCB-", "\\", "\\", "mathrm", "-LCB-", "remaining", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "t", "-RCB-", "\\", "mathrm", "-LCB-", "x", "-RCB-", "\\", "right", ")", "\\", "frac", "-LCB-", "\\", "mathrm", "-LCB-", "mean", "-RCB-", "\\", "\\", "%", "\\", "mathrm", "-LCB-", "tail", "-RCB-", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "D", "-RCB-", "\\", "mathrm", "-LCB-", "N", "-RCB-", "\\", "mathrm", "-LCB-", "A", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "t", "-RCB-", "\\", "mathrm", "-LCB-", "x", "-RCB-", "\\", "right", ")", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "mean", "-RCB-", "\\", "\\", "%", "\\", "mathrm", "-LCB-", "tail", "-RCB-", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "D", "-RCB-", "\\", "mathrm", "-LCB-", "N", "-RCB-", "\\", "mathrm", "-LCB-", "A", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "control", "-RCB-", "\\", "right", ")", "-RCB-", "-LCB-", "\\", "mathrm", "-LCB-", "mean", "-RCB-", "\\", "\\", "%", "\\", "mathrm", "-LCB-", "tail", "-RCB-", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "D", "-RCB-", "\\", "mathrm", "-LCB-", "N", "-RCB-", "\\", "mathrm", "-LCB-", "A", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "t", "-RCB-", "0", "\\", "right", ")", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "mean", "-RCB-", "\\", "\\", "%", "\\", "mathrm", "-LCB-", "tail", "-RCB-", "\\", "hbox", "-LCB-", "-", "-RCB-", "\\", "mathrm", "-LCB-", "D", "-RCB-", "\\", "mathrm", "-LCB-", "N", "-RCB-", "\\", "mathrm", "-LCB-", "A", "-RCB-", "\\", "left", "(", "\\", "mathrm", "-LCB-", "control", "-RCB-", "\\", "right", ")", "-RCB-", "\\", "times", "100", "$", "$", "\\", "end", "-LCB-", "document", "-RCB-", "Kt", "=", "%", "damageremainingtxmean", "%", "tailDNAtxmean", "%", "tailDNAcontrolmean", "%", "tailDNAt0mean", "%", "tailDNAcontrol100", "."]	[68]	10.1186.s12870-014-0353-9	91	false	\N	\N	\N	\N	\N	\N	\N
[17]	GeneName	0.26855593477795037	PhenoName	195	["Likewise", ",", "_", "gsd1", "_", ",", "a", "weak", "allele", "of", "_", "ACC1", "_", ",", "which", "shows", "a", "clear", "phenotype", "in", "the", "warm", ",", "appears", "to", "have", "a", "less", "severe", "stem", "wax", "phenotype", "(", "based", "on", "comparison", "with", "electron", "microscopy", "images", "presented", "by", ")", "than", "cold-grown", "_", "sfr3", "_", "plants", "."]	[3]	10.1093.jxb.ers191	1711	false	\N	\N	true	\N	\N	\N	\N
[15, 16]	GeneName	0.49826385294983533	PhenoName	130	["_", "syp22", "_", "showed", "multiple", "abnormal", "phenotypes", ",", "including", "semi-dwarfism", ",", "serrated", "wavy", "leaves", ",", "late", "flowering", ",", "and", "resistance", "to", "salt", "stress", "(", ")", "-LSB-", ",", "-RSB-", "."]	[1]	PONE-D-15-49250	769	true	\N	\N	\N	\N	\N	\N	\N
[11]	GeneName	0.5010369534314822	PhenoName	25	["Indeed", ",", "genetic", "works", "in", "Arabidopsis", "have", "identified", "a", "number", "of", "curly", "leaf", "mutants", ",", "such", "as", "the", "_", "incurvata", "_", "(", "_", "icu", "_", ")", "series", "of", "mutants", "."]	[11, 12]	10.1371.journal.pone.0107637	1243	false	\N	\N	\N	\N	\N	\N	\N
[39]	GeneName	0.26742633867195353	PhenoName	374	["The", "G", "lignin", "in", "_", "irx8", "_", "is", "significantly", "reduced", "(", "Figures", ",", ")", ",", "and", "released", "in", "the", "1", "M", "KOH", "extract", "(", "Figure", ")", "rather", "than", "in", "the", "chlorite", "-", "and", "PC4MKOH", "extracts", "as", "occurs", "in", "the", "WT", "(", "Figures", ",", ")", ",", "suggesting", "a", "possible", "correlation", "between", "the", "xylan", "reduction", "and", "lignin", "alteration", "in", "_", "irx8", "_", "."]	[58]	10.3389.fpls.2014.00357	1032	false	\N	\N	true	\N	\N	\N	\N
[21]	GeneName	0.268369217218326	PhenoName	200	["Our", "data", "showing", "shorter", "G-overhangs", "in", "_", "Arabidopsis", "stn1", "tert", "_", "and", "_", "exo1", "stn1", "tert", "_", "mutants", "indicate", "that", "the", "long", "G-overhangs", "in", "STN1-deficient", "plants", "are", "partially", "derived", "from", "an", "impaired", "C-strand", "fill-in", "or", "aberrant", "processing", "after", "telomerase", "elongation", "."]	[8]	10.1371.journal.pgen.1004682	1462	false	\N	true	true	\N	\N	\N	\N
[50]	GeneName	0.268704827721722	PhenoName	154	["The", "observation", "that", "the", "phenotype", "displayed", "by", "the", "_", "fzl", "-", "_", "L_er", "_", "mutant", "partially", "recovered", "by", "high", "temperature", "or", "low", "light", "treatments", "was", "very", "similar", "to", "the", "_", "fzl", "_", "-", "Col", "phenotype", ",", "suggested", "that", "the", "_", "fzl", "-", "_", "Col", "mutant", "could", "be", "seen", "as", "the", "mild", "version", "of", "the", "typical", "LMM", "phenotype", "shown", "by", "the", "_", "fzl", "-", "_", "L_er", "_", "."]	[30]	10.1093.jxb.ert237	512	false	\N	\N	\N	true	\N	\N	\N
[4]	GeneName	0.2686167851001022	PhenoName	52	["In", "this", "study", ",", "WT", "_", "Arabidopsis", "_", "Columbia", "(", "Columbia-0", ")", ",", "Landsberg", "_", "erecta", "_", "(", "L_er", "_", ")", "ecotype", "and", "_", "abi4-1", "_", "were", "used", "."]	[15]	10.3389.fpls.2015.00861	1288	false	\N	\N	true	\N	\N	\N	\N
[28]	GeneName	0.26953858602258063	PhenoName	176	["The", "expression", "of", "_", "psbB", "_", ",", "_", "ycf2", ".2", "_", ",", "_", "RbcS", "_", ",", "and", "_", "CAO", "_", "was", "a", "little", "higher", "in", "_", "sg1", "_", "albino", "leaves", "than", "in", "the", "WT", "."]	[26]	10.1093.jxb.ert463	1566	false	\N	\N	true	\N	\N	\N	\N
[15, 16]	GeneName	0.4973739710320706	PhenoName	6	["The", "newly", "formed", "leaves", "of", "_", "sg1", "_", "were", "initially", "albino", ",", "but", "gradually", "became", "pale", "green", "."]	[6]	10.1093.jxb.ert463	1539	false	\N	\N	\N	true	\N	\N	\N
[9]	GeneName	0.2690517376038132	PhenoName	203	["To", "determine", "if", "this", "competence", "was", "indeed", "affected", ",", "small", "populations", "of", "2022", "plants", "of", "wild", "type", ",", "the", "_", "spl9", "_", ",", "_", "spl15", "_", "single", "and", "double", "mutants", "and", "the", "_", "MIR156b", "_", "overexpressor", "were", "germinated", "and", "cultivated", "for", "3weeks", "in", "non-inductive", "SD", "conditions", "(", "see", "Materials", "and", "methods", ")", "."]	[20]	10.1007.s11103-008-9310-z	1336	false	\N	\N	true	\N	\N	\N	\N
[0]	GeneName	0.26880059773965526	PhenoName	45	["Wt", "_", "Arabidopsis", "thaliana", "_", "seeds", "of", "the", "ecotypes", "Col", "0", ",", "WS", ",", "and", "L_er", "_", ",", "and", "_", "ahk1", "_", "were", "provided", "by", "the", "Arabidopsis", "Biological", "Resource", "Center", "(", "Ohio", "State", "University", ",", "Columbus", ")", "."]	[20]	10.1093.jxb.ers025	1160	false	\N	\N	true	\N	\N	\N	\N
[20, 21]	GeneName	0.4985957267447206	PhenoName	192	["WRKY70", "was", "previously", "demonstrated", "to", "regulate", "both", "plant", "defence", "and", "leaf", "senescence", "in", "_", "Arabidopsis", "_", ",", "leading", "to", "an", "early", "senescence", "phenotype", "in", "_", "wrky70", "_", "mutants", "(", ")", "and", "to", "enhanced", "resistance/susceptibility", "phenotypes", "to", "several", "pathogens", "in", "_", "wrky70", "_", "overexpressor", "and", "mutant", "lines", "(", ";", ";", "."]	[40]	10.1093.jxb.err450	882	true	\N	\N	\N	\N	\N	\N	\N
[5]	GeneName	0.26935814510002687	PhenoName	0	["Arabidopsis", "mTERF15", "Is", "Required", "for", "Mitochondrial", "_", "nad2", "_", "Intron", "3", "Splicing", "and", "Functional", "Complex", "I", "Activity", "."]	[7]	10.1371.journal.pone.0112360	777	false	\N	\N	\N	\N	\N	\N	\N
[32, 33]	GeneName	0.7325283273135786	PhenoName	137	["Moreover", ",", "DET1", "could", "act", "with", "LHY/CCA1", "to", "negatively", "regulate", "GI", "binding", "to", "the", "_", "FT", "_", "promoter", "mainly", "in", "SD", ",", "because", "_", "lhy", "cca1", "_", "double", "mutants", "also", "exhibit", "photoperiod-insensitive", "early", "flowering", "."]	[24]	10.1038.srep09728	1152	false	\N	true	\N	\N	\N	\N	\N
[11]	GeneName	0.2687723290790168	PhenoName	83	["The", "primary", "pattern", "is", "that", "chlorophyll", "is", "retained", "in", "a", "triangular-shaped", "proximal", "zone", "and", "lost", "elsewhere", "in", "_", "as1", "_", "medial", "sepals", "(", "FigureI", ",", "J", ")", "."]	[18]	10.1186.s12870-014-0195-5	1767	false	\N	\N	true	\N	\N	\N	\N
[9]	GeneName	0.4991234453098157	PhenoName	323	["Mutants", "of", "GABA", "Transaminase", "(", "POP2", ")", "Suppress", "the", "Severe", "Phenotype", "of", "_", "succinic", "semialdehyde", "dehydrogenase", "_", "(", "_", "ssadh", "_", ")", "Mutants", "in", "_", "Arabidopsis", "_", "."]	[19]	10.1186.1471-2229-10-20	571	false	\N	\N	\N	\N	\N	\N	\N
